date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:09	99878/99878	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:04%20GMT	https://wordpress.com/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/index.html	(from )
14:06:09	408/408	---MCZ	200	added ('OK')	text/plain	date:Wed,%2016%20Aug%202023%2008:36:04%20GMT	https://wordpress.com/robots.txt		(from )
14:06:12	41436/41436	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:09%20GMT	https://wordpress.com/el/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/el/index.html	(from https://wordpress.com/)
14:06:12	77512/77512	---M--	200	added ('OK')	image/jpeg	etag:%2262f6b679-12ec8%22	https://s1.wp.com/home.logged-out/images/wpcom-og-image.jpg	C:/My%20Web%20Sites/Wordpress%20Clone/s1.wp.com/home.logged-out/images/wpcom-og-image.jpg	(from https://wordpress.com/)
14:06:14	191423/191423	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:09%20GMT	https://wordpress.com/de/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/de/index.html	(from https://wordpress.com/)
14:06:14	212650/212650	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:09%20GMT	https://wordpress.com/ar/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/ar/index.html	(from https://wordpress.com/)
14:06:14	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Aug%202023%2008:36:13%20GMT	http://wordpress.com/osd.xml	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/osd.1.delayed	(from https://wordpress.com/)
14:06:15	192373/192373	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:12%20GMT	https://wordpress.com/es/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/es/index.html	(from https://wordpress.com/)
14:06:15	194540/194540	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:14%20GMT	https://wordpress.com/fr/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/fr/index.html	(from https://wordpress.com/)
14:06:16	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2011%20Jan%201984%2008:00:00%20GMT	http://0.gravatar.com/blavatar/653166773dc88127bd3afe0b6dfe5ea7?s=114&d=https%3A%2F%2Fs1.wp.com%2Fi%2Fwebclip.png	C:/My%20Web%20Sites/Wordpress%20Clone/0.gravatar.com/blavatar/653166773dc88127bd3afe0b6dfe5ea7.30a99.delayed	(from https://wordpress.com/)
14:06:16	1420/1420	---MCZ	200	added ('OK')	application/xml	date:Wed,%2016%20Aug%202023%2008:36:14%20GMT	https://wordpress.com/osd.xml	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/osd.xml	(from https://wordpress.com/)
14:06:16	209057/209057	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:15%20GMT	https://wordpress.com/he/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/he/index.html	(from https://wordpress.com/)
14:06:17	189365/189365	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:15%20GMT	https://wordpress.com/id/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/id/index.html	(from https://wordpress.com/)
14:06:17	190020/190020	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:16%20GMT	https://wordpress.com/it/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/it/index.html	(from https://wordpress.com/)
14:06:18	10046/10046	---M--	200	added ('OK')	image/png	etag:%225bfee30d-273e%22	https://s1.wp.com/i/webclip.png	C:/My%20Web%20Sites/Wordpress%20Clone/s1.wp.com/i/webclip.png	(from https://wordpress.com/)
14:06:18	190273/190273	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:17%20GMT	https://wordpress.com/nl/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/nl/index.html	(from https://wordpress.com/)
14:06:19	195925/195925	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:16%20GMT	https://wordpress.com/ko/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/ko/index.html	(from https://wordpress.com/)
14:06:19	198441/198441	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:16%20GMT	https://wordpress.com/ja/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/ja/index.html	(from https://wordpress.com/)
14:06:19	12576/12576	---M--	200	added ('OK')	image/png	etag:%226466e5d5-3120%22	https://wordpress.com/wp-content/themes/h4/tabs/images/wpcom-logo-144.png	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/wp-content/themes/h4/tabs/images/wpcom-logo-144.png	(from https://wordpress.com/)
14:06:19	191723/191723	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:18%20GMT	https://wordpress.com/pt-br/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/pt-br/index.html	(from https://wordpress.com/)
14:06:20	193045/193045	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:18%20GMT	https://wordpress.com/ro/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/ro/index.html	(from https://wordpress.com/)
14:06:20	0/0	---MC-	302	error ('Found')	text/html	date:Wed,%2016%20Aug%202023%2008:36:18%20GMT	https://wordpress.com/wp-login.php?redirect_to=https%3A%2F%2Fwordpress.com%2F	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/wp-logina217.php	(from https://wordpress.com/)
14:06:20	214984/214984	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:19%20GMT	https://wordpress.com/ru/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/ru/index.html	(from https://wordpress.com/)
14:06:20	190132/190132	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:19%20GMT	https://wordpress.com/sv/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/sv/index.html	(from https://wordpress.com/)
14:06:28	92671/92671	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:19%20GMT	https://wordpress.com/log-in?redirect_to=https%3A%2F%2Fwordpress.com%2F	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/log-ina217.html	(from https://wordpress.com/)
14:06:29	192920/192920	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:19%20GMT	https://wordpress.com/tr/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/tr/index.html	(from https://wordpress.com/)
14:06:30	189926/189926	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:20%20GMT	https://wordpress.com/zh-cn/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/zh-cn/index.html	(from https://wordpress.com/)
14:06:30	190667/190667	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:20%20GMT	https://wordpress.com/zh-tw/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/zh-tw/index.html	(from https://wordpress.com/)
14:06:30	118963/118963	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22af90131f4dc4fcf4369f09d41e47e3a5%22	https://wordpress.com/blog/feed/	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/blog/feed/index.html	(from https://wordpress.com/)
14:06:31	88849/88849	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202023%2008:36:30%20GMT	https://wordpress.com/start/?ref=logged-out-homepage-lp	C:/My%20Web%20Sites/Wordpress%20Clone/wordpress.com/start/index1bad.html	(from https://wordpress.com/)
